Iteracoes 100000: pi ~= 3.141582653590, pi = 3.141592653590, diferenca absoluta = 1.000000007334e-05, tempo medio = 0.263893 ms (1 execucoes)
Iteracoes 200000: pi ~= 3.141587653590, pi = 3.141592653590, diferenca absoluta = 5.000000031341e-06, tempo medio = 0.624950 ms (1 execucoes)
Iteracoes 300000: pi ~= 3.141589320256, pi = 3.141592653590, diferenca absoluta = 3.333333328914e-06, tempo medio = 0.791277 ms (1 execucoes)
Iteracoes 400000: pi ~= 3.141590153590, pi = 3.141592653590, diferenca absoluta = 2.500000049199e-06, tempo medio = 1.084034 ms (1 execucoes)
Iteracoes 500000: pi ~= 3.141590653590, pi = 3.141592653590, diferenca absoluta = 2.000000101088e-06, tempo medio = 1.365039 ms (1 execucoes)
Iteracoes 600000: pi ~= 3.141590986923, pi = 3.141592653590, diferenca absoluta = 1.666666778366e-06, tempo medio = 1.999417 ms (1 execucoes)
Iteracoes 700000: pi ~= 3.141591225018, pi = 3.141592653590, diferenca absoluta = 1.428571532180e-06, tempo medio = 1.868509 ms (1 execucoes)
Iteracoes 800000: pi ~= 3.141591403590, pi = 3.141592653590, diferenca absoluta = 1.250000075892e-06, tempo medio = 2.196243 ms (1 execucoes)
Iteracoes 900000: pi ~= 3.141591542479, pi = 3.141592653590, diferenca absoluta = 1.111111142205e-06, tempo medio = 2.463042 ms (1 execucoes)
Iteracoes 1000000: pi ~= 3.141591653590, pi = 3.141592653590, diferenca absoluta = 1.000000018792e-06, tempo medio = 2.688179 ms (1 execucoes)
Iteracoes 1100000: pi ~= 3.141591744499, pi = 3.141592653590, diferenca absoluta = 9.090909607323e-07, tempo medio = 2.936121 ms (1 execucoes)
Iteracoes 1200000: pi ~= 3.141591820256, pi = 3.141592653590, diferenca absoluta = 8.333333045840e-07, tempo medio = 3.230963 ms (1 execucoes)
Iteracoes 1300000: pi ~= 3.141591884359, pi = 3.141592653590, diferenca absoluta = 7.692307120166e-07, tempo medio = 3.512859 ms (1 execucoes)
Iteracoes 1400000: pi ~= 3.141591939304, pi = 3.141592653590, diferenca absoluta = 7.142856910392e-07, tempo medio = 3.786762 ms (1 execucoes)
Iteracoes 1500000: pi ~= 3.141591986923, pi = 3.141592653590, diferenca absoluta = 6.666665828270e-07, tempo medio = 3.998243 ms (1 execucoes)
Iteracoes 1600000: pi ~= 3.141592028590, pi = 3.141592653590, diferenca absoluta = 6.249999486840e-07, tempo medio = 4.288568 ms (1 execucoes)
Iteracoes 1700000: pi ~= 3.141592065355, pi = 3.141592653590, diferenca absoluta = 5.882352684949e-07, tempo medio = 4.576846 ms (1 execucoes)
Iteracoes 1800000: pi ~= 3.141592098034, pi = 3.141592653590, diferenca absoluta = 5.555555731007e-07, tempo medio = 4.785805 ms (1 execucoes)
Iteracoes 1900000: pi ~= 3.141592127274, pi = 3.141592653590, diferenca absoluta = 5.263158606716e-07, tempo medio = 5.095585 ms (1 execucoes)
Iteracoes 2000000: pi ~= 3.141592153590, pi = 3.141592653590, diferenca absoluta = 5.000000689037e-07, tempo medio = 5.370138 ms (1 execucoes)
